Name,DateTime,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,HasName,Year,Month,Weekday,Hour,WeekofYear,DayofMonth,isHoliday,AgeinDays,LifeStage,BernoulliSex,AvgWeight(pounds),SizeScore(1to5),Intelligent,Friendliness,AvgAge,MixType,Hair,BlendedColor,ReducedPattern,ID
Ghengis,2015-05-29 17:04:00,Dog,Neutered Male,5 years,Doberman Pinsch Mix,Black/Tan,1.0,2015,5,4,17,22,29,False,1825.0,Adult,Neutered Male,77.0,4.0,5.0,2.0,10.0,Mix,Short,darkolivegreen,BiColor,17
Decker,2016-01-19 19:31:00,Dog,Neutered Male,3 years,English Bulldog,White/Tricolor,1.0,2016,1,1,19,3,19,True,1095.0,Young Adult,Neutered Male,53.0,3.0,2.0,3.0,9.0,Pure,Short,white,BiColor,18
Freckles,2014-06-16 12:49:00,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Torbie,1.0,2014,6,0,12,25,16,False,1095.0,Young Adult,Spayed Female,9.0,1.0,3.0,3.0,13.0,Mix,Short,Not_clear,TriColor,19
,2014-02-11 19:27:00,Cat,Intact Female,4 years,Domestic Shorthair Mix,Torbie,0.0,2014,2,1,19,7,11,False,1460.0,Adult,Intact Female,9.0,1.0,3.0,3.0,13.0,Mix,Short,Not_clear,TriColor,20
Pumpkin,2014-11-14 19:32:00,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black,1.0,2014,11,4,19,46,14,False,730.0,Young Adult,Spayed Female,9.0,1.0,3.0,3.0,12.0,Mix,Short,black,Solid,21
,2015-05-04 13:46:00,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black,0.0,2015,5,0,13,19,4,False,21.0,Infant,Intact Male,9.0,1.0,3.0,3.0,12.0,Mix,Short,black,Solid,22
Pluto,2014-06-07 14:14:00,Dog,Neutered Male,1 year,Norwich Terrier Mix,White/Tan,1.0,2014,6,5,14,23,7,True,365.0,Puppy/Kitten,Neutered Male,12.0,1.0,3.0,3.0,14.0,Mix,Long,wheat,BiColor,23
,2014-07-20 15:37:00,Cat,Intact Female,1 week,Domestic Shorthair Mix,Tortie,0.0,2014,7,6,15,29,20,True,7.0,Infant,Intact Female,9.0,1.0,3.0,3.0,14.0,Mix,Short,Not_clear,TriColor,24
Portia,2013-10-26 16:23:00,Dog,Spayed Female,1 year,Black Mouth Cur/Boxer,Tan,1.0,2013,10,5,16,43,26,True,365.0,Puppy/Kitten,Spayed Female,79.0,4.0,4.0,3.0,10.0,Cross,Short,tan,Solid,25
,2014-12-29 13:10:00,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby,0.0,2014,12,0,13,1,29,True,365.0,Puppy/Kitten,Neutered Male,9.0,1.0,3.0,3.0,15.0,Mix,Short,brown,Tabby,26
Lucy,2015-07-23 16:18:00,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Black Smoke,1.0,2015,7,3,16,30,23,True,62.0,Infant,Spayed Female,9.0,1.0,3.0,3.0,16.0,Mix,Medium,black,Smoke,27
,2015-03-19 08:33:00,Dog,Intact Male,2 months,Norwich Terrier Mix,Brown,0.0,2015,3,3,8,12,19,False,62.0,Infant,Intact Male,12.0,1.0,3.0,3.0,14.0,Mix,Short,brown,Solid,28
Jack,2014-10-09 17:22:00,Dog,Neutered Male,3 years,Labrador Retriever Mix,Black/White,1.0,2014,10,3,17,41,9,False,1095.0,Young Adult,Neutered Male,68.0,4.0,5.0,4.0,13.0,Mix,Short,grey,BiColor,29
Knight,2014-05-13 17:03:00,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black,1.0,2014,5,1,17,20,13,False,730.0,Young Adult,Neutered Male,68.0,4.0,5.0,4.0,13.0,Mix,Short,black,Solid,30
,2015-05-05 15:13:00,Dog,Spayed Female,4 years,Pomeranian Mix,Black/White,0.0,2015,5,1,15,19,5,False,1460.0,Adult,Spayed Female,5.0,1.0,3.0,3.0,16.0,Mix,Short,grey,BiColor,31
Indiana,2015-01-31 11:36:00,Dog,Spayed Female,2 months,Chihuahua Shorthair/Dachshund,Black/White,1.0,2015,1,5,11,5,31,True,62.0,Infant,Spayed Female,13.0,1.0,3.0,3.0,15.0,Cross,Short,grey,BiColor,32
,2013-11-14 15:02:00,Cat,Neutered Male,2 years,Domestic Medium Hair Mix,Brown Tabby,0.0,2013,11,3,15,46,14,False,730.0,Young Adult,Neutered Male,9.0,1.0,3.0,3.0,15.0,Mix,Medium,brown,Tabby,33
Nord,2015-04-25 18:05:00,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,1.0,2015,4,5,18,17,25,True,62.0,Infant,Neutered Male,9.0,1.0,3.0,3.0,13.0,Mix,Short,rosybrown,Tabby,34
Alice,2015-08-02 12:59:00,Cat,Intact Female,2 months,Domestic Shorthair Mix,Tortie,1.0,2015,8,6,12,31,2,True,62.0,Infant,Intact Female,9.0,1.0,3.0,3.0,14.0,Mix,Short,Not_clear,TriColor,35
Nick,2014-03-24 12:15:00,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,Red Merle/White,1.0,2014,3,0,12,13,24,False,365.0,Puppy/Kitten,Neutered Male,53.0,3.0,4.0,2.0,13.0,Mix,Medium,salmon,Merle,36
,2015-11-03 09:00:00,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby,0.0,2015,11,1,9,45,3,False,1095.0,Young Adult,Neutered Male,9.0,1.0,3.0,3.0,14.0,Mix,Short,brown,Tabby,37
Pongo,2015-12-26 17:30:00,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White,1.0,2015,12,5,17,52,26,True,62.0,Infant,Neutered Male,68.0,4.0,5.0,4.0,13.0,Mix,Short,grey,BiColor,38
Brittney,2015-12-30 15:57:00,Dog,Spayed Female,4 years,Miniature Poodle/Lhasa Apso,Tan,1.0,2015,12,2,15,53,30,True,1460.0,Adult,Spayed Female,14.0,2.0,4.0,4.0,15.0,Cross,Short,tan,Solid,39
,2014-02-06 14:19:00,Dog,Neutered Male,1 year,Border Terrier Mix,Gold,0.0,2014,2,3,14,6,6,False,365.0,Puppy/Kitten,Neutered Male,14.0,2.0,4.0,3.0,13.0,Mix,Long,yellow,Solid,40
Chaney,2015-10-31 16:02:00,Dog,Intact Female,9 months,Beagle Mix,Tricolor,1.0,2015,10,5,16,44,31,True,279.0,Puppy/Kitten,Intact Female,28.0,2.0,2.0,4.0,15.0,Mix,Short,Not_clear,Solid,41
,2014-05-13 13:23:00,Cat,Intact Male,4 days,Domestic Shorthair Mix,Orange Tabby,0.0,2014,5,1,13,20,13,False,4.0,Infant,Intact Male,9.0,1.0,3.0,3.0,13.0,Mix,Short,orange,Tabby,42
Angie,2013-12-22 12:37:00,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White,1.0,2013,12,6,12,51,22,True,365.0,Puppy/Kitten,Spayed Female,9.0,1.0,3.0,3.0,13.0,Mix,Short,grey,BiColor,43
,2013-10-16 11:50:00,Cat,Intact Male,2 weeks,Domestic Medium Hair Mix,Blue,0.0,2013,10,2,11,42,16,False,14.0,Infant,Intact Male,9.0,1.0,3.0,3.0,12.0,Mix,Medium,grey,Solid,44
,2014-04-10 12:13:00,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue Tabby,0.0,2014,4,3,12,15,10,False,730.0,Young Adult,Neutered Male,9.0,1.0,3.0,3.0,13.0,Mix,Short,grey,Tabby,45
,2014-02-24 14:57:00,Dog,Spayed Female,2 years,Whippet/Rat Terrier,Tricolor,0.0,2014,2,0,14,9,24,False,730.0,Young Adult,Spayed Female,27.0,3.0,3.0,3.0,16.0,Cross,Short,Not_clear,Solid,46
Sophia,2014-03-07 12:42:00,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Orange Tabby/White,1.0,2014,3,4,12,10,7,False,1095.0,Young Adult,Spayed Female,9.0,1.0,3.0,3.0,14.0,Mix,Short,khaki,Tabby,47
Frisco,2015-11-14 15:52:00,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White,1.0,2015,11,5,15,46,14,True,730.0,Young Adult,Neutered Male,60.0,4.0,3.0,2.0,12.0,Mix,Short,rosybrown,TriColor,48
Chica,2015-07-27 13:06:00,Dog,Spayed Female,4 years,Japanese Chin Mix,White/Black,1.0,2015,7,0,13,31,27,True,1460.0,Adult,Spayed Female,7.0,1.0,2.0,4.0,13.0,Mix,Short,grey,BiColor,49
Ire,2015-05-08 15:01:00,Dog,Intact Male,7 months,Labrador Retriever/Doberman Pinsch,Chocolate,1.0,2015,5,4,15,19,8,False,217.0,Puppy/Kitten,Intact Male,72.0,4.0,5.0,3.0,12.0,Cross,Short,brown,Solid,50
Comet,2015-07-29 13:31:00,Cat,Intact Male,3 months,Domestic Longhair Mix,Blue Tabby/White,1.0,2015,7,2,13,31,29,True,93.0,Infant,Intact Male,9.0,1.0,3.0,3.0,13.0,Mix,Long,silver,Tabby,51
Booch,2014-07-27 11:26:00,Dog,Spayed Female,9 years,Black/Tan Hound Mix,Black/Brown,1.0,2014,7,6,11,30,27,True,3285.0,Senior,Spayed Female,55.0,3.0,3.0,3.0,13.0,Mix,Short,maroon,BiColor,52
Kodiak,2015-05-30 16:41:00,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,1.0,2015,5,5,16,22,30,True,62.0,Infant,Neutered Male,9.0,1.0,3.0,3.0,16.0,Mix,Short,brown,Tabby,53
Periwinkle,2014-10-07 16:08:00,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue/White,1.0,2014,10,1,16,41,7,False,31.0,Infant,Intact Female,9.0,1.0,3.0,3.0,12.0,Mix,Short,silver,BiColor,54
,2015-01-03 17:35:00,Cat,Unknown,3 years,Siamese Mix,White/Brown,0.0,2015,1,5,17,1,3,True,1095.0,Young Adult,Intact Male,9.0,1.0,3.0,3.0,12.0,Mix,Short,rosybrown,BiColor,55
Stella,2015-10-12 16:50:00,Cat,Spayed Female,9 years,Domestic Shorthair Mix,Brown Tabby/White,1.0,2015,10,0,16,42,12,True,3285.0,Senior,Spayed Female,9.0,1.0,3.0,3.0,16.0,Mix,Short,rosybrown,Tabby,56
Tizoc,2016-01-27 17:51:00,Dog,Neutered Male,1 year,Catahoula Mix,Brown/Tan,1.0,2016,1,2,17,4,27,True,365.0,Puppy/Kitten,Neutered Male,69.0,4.0,4.0,3.0,12.0,Mix,Short,indianred,BiColor,57
,2015-06-30 12:22:00,Cat,Unknown,1 week,Domestic Shorthair Mix,Tortie,0.0,2015,6,1,12,27,30,False,7.0,Infant,Intact Female,9.0,1.0,3.0,3.0,12.0,Mix,Short,Not_clear,TriColor,58
,2015-04-18 09:00:00,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie,0.0,2015,4,5,9,16,18,True,730.0,Young Adult,Intact Female,9.0,1.0,3.0,3.0,9.0,Mix,Short,Not_clear,TriColor,59
Charlie,2015-09-09 13:55:00,Dog,Neutered Male,2 months,Plott Hound/Labrador Retriever,Black,1.0,2015,9,2,13,37,9,False,62.0,Infant,Neutered Male,60.0,4.0,4.0,3.0,13.0,Cross,Short,black,Solid,60
,2014-07-23 19:05:00,Dog,Neutered Male,2 years,Labrador Retriever/American Foxhound,White/Red,0.0,2014,7,2,19,30,23,True,730.0,Young Adult,Neutered Male,66.0,4.0,4.0,4.0,13.0,Cross,Short,salmon,BiColor,61
Yellow,2014-11-18 11:55:00,Dog,Neutered Male,4 years,Pit Bull Mix,Tan/White,1.0,2014,11,1,11,47,18,False,1460.0,Adult,Neutered Male,60.0,4.0,3.0,2.0,12.0,Mix,Short,wheat,BiColor,62
Cooper,2014-03-05 11:49:00,Cat,Neutered Male,1 year,Bombay Mix,Black,1.0,2014,3,2,11,10,5,False,365.0,Puppy/Kitten,Neutered Male,9.0,1.0,3.0,3.0,14.0,Mix,Medium,black,Solid,63
,2015-06-17 12:27:00,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,0.0,2015,6,2,12,25,17,False,21.0,Infant,Intact Male,9.0,1.0,3.0,3.0,14.0,Mix,Short,brown,Tabby,64
,2014-08-20 09:00:00,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby,0.0,2014,8,2,9,34,20,True,93.0,Infant,Intact Male,9.0,1.0,3.0,3.0,14.0,Mix,Short,brown,Tabby,65
Bella,2014-10-18 18:06:00,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Black/Brown,1.0,2014,10,5,18,42,18,True,365.0,Puppy/Kitten,Spayed Female,6.0,1.0,3.0,3.0,16.0,Mix,Short,maroon,BiColor,66
Tiernee,2015-11-22 18:15:00,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie,1.0,2015,11,6,18,47,22,True,93.0,Infant,Spayed Female,9.0,1.0,3.0,3.0,16.0,Mix,Short,Not_clear,TriColor,67
Peanut,2014-06-26 12:11:00,Dog,Intact Female,12 years,Chihuahua Shorthair Mix,Black/Tan,1.0,2014,6,3,12,26,26,False,4380.0,Geriatric,Intact Female,6.0,1.0,3.0,3.0,16.0,Mix,Short,darkolivegreen,BiColor,68
Boris,2014-06-04 17:09:00,Dog,Neutered Male,2 years,Boxer Mix,Blue/White,1.0,2014,6,2,17,23,4,False,730.0,Young Adult,Neutered Male,60.0,4.0,4.0,3.0,9.0,Mix,Long,silver,BiColor,69
,2014-08-24 09:00:00,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie,0.0,2014,8,6,9,34,24,True,365.0,Puppy/Kitten,Intact Female,9.0,1.0,3.0,3.0,12.0,Mix,Short,Not_clear,TriColor,70
,2016-01-20 13:29:00,Dog,Intact Female,3 months,Anatol Shepherd/Labrador Retriever,White/Tan,0.0,2016,1,2,13,3,20,True,93.0,Infant,Intact Female,55.0,4.0,5.0,3.0,13.0,Cross,Short,wheat,BiColor,71
Olive,2015-02-21 17:58:00,Dog,Spayed Female,2 months,Cardigan Welsh Corgi Mix,Brown/White,1.0,2015,2,5,17,8,21,True,62.0,Infant,Spayed Female,32.0,2.0,4.0,3.0,14.0,Mix,Short,rosybrown,BiColor,72
,2014-06-13 10:51:00,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Gray/Black,0.0,2014,6,4,10,24,13,False,7.0,Infant,Intact Male,9.0,1.0,3.0,3.0,12.0,Mix,Short,darkslategray,BiColor,73
Rocky,2013-10-09 12:48:00,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown,1.0,2013,10,2,12,41,9,False,730.0,Young Adult,Neutered Male,6.0,1.0,3.0,3.0,16.0,Mix,Short,brown,Solid,74
,2015-08-21 16:59:00,Cat,Intact Female,3 weeks,Domestic Medium Hair Mix,Orange Tabby/White,0.0,2015,8,4,16,34,21,True,21.0,Infant,Intact Female,9.0,1.0,3.0,3.0,16.0,Mix,Medium,khaki,Tabby,75
Calamity,2015-08-30 11:06:00,Cat,Intact Female,2 months,Domestic Longhair Mix,Brown Tabby,1.0,2015,8,6,11,35,30,True,62.0,Infant,Intact Female,9.0,1.0,3.0,3.0,16.0,Mix,Long,brown,Tabby,76
Daisy,2013-11-16 12:21:00,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Tortie,1.0,2013,11,5,12,46,16,True,62.0,Infant,Spayed Female,9.0,1.0,3.0,3.0,12.0,Mix,Medium,Not_clear,TriColor,77
,2015-06-17 09:00:00,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Black,0.0,2015,6,2,9,25,17,False,1095.0,Young Adult,Neutered Male,9.0,1.0,3.0,3.0,15.0,Mix,Short,black,Solid,78
Oreo,2014-08-04 14:13:00,Dog,Spayed Female,3 years,Pug/Italian Greyhound,Chocolate,1.0,2014,8,0,14,32,4,True,1095.0,Young Adult,Spayed Female,14.0,2.0,2.0,4.0,14.0,Cross,Short,brown,Solid,79
Zeus,2014-08-20 17:18:00,Cat,Neutered Male,1 month,Domestic Shorthair,Brown Tabby/White,1.0,2014,8,2,17,34,20,True,31.0,Infant,Neutered Male,9.0,1.0,3.0,3.0,12.0,Pure,Short,rosybrown,Tabby,80
,2014-04-26 17:02:00,Cat,Intact Male,6 days,Domestic Shorthair Mix,Brown Tabby,0.0,2014,4,5,17,17,26,True,6.0,Infant,Intact Male,9.0,1.0,3.0,3.0,16.0,Mix,Short,brown,Tabby,81
,2015-06-19 19:02:00,Cat,Unknown,1 week,Domestic Shorthair Mix,Blue/White,0.0,2015,6,4,19,25,19,True,7.0,Infant,Intact Female,9.0,1.0,3.0,3.0,12.0,Mix,Short,silver,BiColor,82
King,2015-02-15 17:30:00,Dog,Neutered Male,1 year,Blue Lacy Mix,Blue/White,1.0,2015,2,6,17,7,15,True,365.0,Puppy/Kitten,Neutered Male,52.0,4.0,3.0,3.0,12.0,Mix,Short,silver,BiColor,83
,2014-07-05 12:42:00,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,White/Brown Tabby,0.0,2014,7,5,12,27,5,True,14.0,Infant,Intact Male,9.0,1.0,3.0,3.0,14.0,Mix,Short,rosybrown,Tabby,84
Bandit,2014-10-23 19:12:00,Dog,Neutered Male,6 years,English Foxhound Mix,Tricolor,1.0,2014,10,3,19,43,23,False,2190.0,Adult,Neutered Male,68.0,4.0,2.0,4.0,11.0,Mix,Short,Not_clear,Solid,85
,2013-12-03 15:34:00,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue Tabby/White,0.0,2013,12,1,15,49,3,True,62.0,Infant,Intact Male,9.0,1.0,3.0,3.0,16.0,Mix,Short,silver,Tabby,86
Abby,2014-03-14 18:39:00,Dog,Intact Female,2 years,Pit Bull Mix,Brown/White,1.0,2014,3,4,18,11,14,False,730.0,Young Adult,Intact Female,60.0,4.0,3.0,2.0,12.0,Mix,Short,rosybrown,BiColor,87
French Fry,2015-04-02 15:25:00,Dog,Spayed Female,1 year,Pit Bull Mix,Black Brindle,1.0,2015,4,3,15,14,2,False,365.0,Puppy/Kitten,Spayed Female,60.0,4.0,3.0,2.0,12.0,Mix,Medium,black,TriColor,88
,2014-07-14 15:23:00,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black Tabby,0.0,2014,7,0,15,29,14,True,365.0,Puppy/Kitten,Intact Female,9.0,1.0,3.0,3.0,14.0,Mix,Short,black,Tabby,89
Lulu,2013-12-01 14:02:00,Cat,Spayed Female,3 months,Siamese Mix,Calico Point,1.0,2013,12,6,14,48,1,True,93.0,Infant,Spayed Female,9.0,1.0,3.0,3.0,16.0,Mix,Short,Not_clear,TriColor,90
,2015-06-06 09:00:00,Cat,Intact Male,6 years,Domestic Shorthair Mix,Brown Tabby/White,0.0,2015,6,5,9,23,6,True,2190.0,Adult,Intact Male,9.0,1.0,3.0,3.0,9.0,Mix,Short,rosybrown,Tabby,91
,2014-10-20 09:00:00,Cat,Intact Male,3 years,Domestic Shorthair Mix,Black,0.0,2014,10,0,9,43,20,False,1095.0,Young Adult,Intact Male,9.0,1.0,3.0,3.0,12.0,Mix,Short,black,Solid,92
Azul,2015-06-24 14:59:00,Cat,Spayed Female,2 months,Domestic Longhair Mix,Blue,1.0,2015,6,2,14,26,24,False,62.0,Infant,Spayed Female,9.0,1.0,3.0,3.0,15.0,Mix,Long,grey,Solid,93
Kiko,2014-05-24 15:30:00,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Black,1.0,2014,5,5,15,21,24,True,1095.0,Young Adult,Neutered Male,6.0,1.0,3.0,3.0,16.0,Mix,Short,black,Solid,94
,2015-08-24 09:00:00,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Calico,0.0,2015,8,0,9,35,24,True,730.0,Young Adult,Spayed Female,9.0,1.0,3.0,3.0,16.0,Mix,Short,Not_clear,TriColor,95
Marty,2014-06-01 19:19:00,Dog,Neutered Male,2 years,Jack Russell Terrier Mix,Tricolor,1.0,2014,6,6,19,22,1,True,730.0,Young Adult,Neutered Male,15.0,2.0,3.0,4.0,14.0,Mix,Short,Not_clear,Solid,96
Sonora,2015-10-25 15:05:00,Dog,Spayed Female,3 years,Labrador Retriever Mix,White,1.0,2015,10,6,15,43,25,True,1095.0,Young Adult,Spayed Female,68.0,4.0,5.0,4.0,13.0,Mix,Short,white,Solid,97
,2014-08-16 18:30:00,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,0.0,2014,8,5,18,33,16,True,21.0,Infant,Intact Male,9.0,1.0,3.0,3.0,14.0,Mix,Short,brown,Tabby,98
Patches,2013-10-02 16:48:00,Cat,Intact Female,2 months,Domestic Medium Hair Mix,Calico,1.0,2013,10,2,16,40,2,False,62.0,Infant,Intact Female,9.0,1.0,3.0,3.0,14.0,Mix,Medium,Not_clear,TriColor,99
Sophie,2014-10-21 16:23:00,Dog,Spayed Female,3 years,Beagle Mix,Sable,1.0,2014,10,1,16,43,21,False,1095.0,Young Adult,Spayed Female,28.0,2.0,2.0,4.0,15.0,Mix,Medium,brown,Solid,100
Tyrus,2014-05-05 15:11:00,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,1.0,2014,5,0,15,19,5,False,62.0,Infant,Neutered Male,9.0,1.0,3.0,3.0,16.0,Mix,Short,black,Solid,101
Daisy,2015-07-18 19:44:00,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black,1.0,2015,7,5,19,29,18,True,365.0,Puppy/Kitten,Spayed Female,9.0,1.0,3.0,3.0,13.0,Mix,Short,black,Solid,102
Chester,2013-12-07 11:56:00,Dog,Neutered Male,2 years,Great Pyrenees,White,1.0,2013,12,5,11,49,7,True,730.0,Young Adult,Neutered Male,100.0,5.0,2.0,3.0,11.0,Pure,Short,white,Solid,103
Skippy,2015-12-04 13:40:00,Dog,Neutered Male,1 year,Labrador Retriever Mix,Yellow/White,1.0,2015,12,4,13,49,4,True,365.0,Puppy/Kitten,Neutered Male,68.0,4.0,5.0,4.0,13.0,Mix,Short,khaki,BiColor,104
Baby,2014-01-20 12:21:00,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie,1.0,2014,1,0,12,4,20,True,365.0,Puppy/Kitten,Spayed Female,9.0,1.0,3.0,3.0,11.0,Mix,Short,Not_clear,TriColor,105
Huck,2014-01-05 15:24:00,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black,1.0,2014,1,6,15,1,5,True,365.0,Puppy/Kitten,Neutered Male,68.0,4.0,5.0,4.0,13.0,Mix,Short,black,Solid,106
Moondog,2014-09-01 17:37:00,Dog,Neutered Male,3 years,Miniature Poodle/Cairn Terrier,White,1.0,2014,9,0,17,36,1,True,1095.0,Young Adult,Neutered Male,14.0,2.0,4.0,4.0,16.0,Cross,Short,white,Solid,107
Augie,2015-12-19 15:41:00,Dog,Intact Female,3 years,Yorkshire Terrier Mix,Brown/Black,1.0,2015,12,5,15,51,19,True,1095.0,Young Adult,Intact Female,6.0,1.0,3.0,3.0,14.0,Mix,Short,maroon,BiColor,108
Ivy,2014-09-23 18:19:00,Cat,Spayed Female,1 month,Siamese,Tortie Point,1.0,2014,9,1,18,39,23,False,31.0,Infant,Spayed Female,9.0,1.0,3.0,3.0,16.0,Pure,Short,Not_clear,TriColor,109
Remy,2014-12-24 11:58:00,Cat,Spayed Female,3 years,Russian Blue Mix,Blue,1.0,2014,12,2,11,52,24,True,1095.0,Young Adult,Spayed Female,9.0,1.0,3.0,3.0,9.0,Mix,Short,grey,Solid,110
