OutcomeType,type,HasName,Year,Month,Weekday,Hour,WeekofYear,DayofMonth,isHoliday,AgeInDaysCategorical,LifeStage,BernoulliSex,AvgWeight(pounds),SizeScore(1to5),Intelligent,Friendliness,MixType,Hair,ReducedPattern,BlendedColor
2,1,0,0,9,1,4,40,29,1,6.0,2.0,1,1.0,1.0,1.0,1.0,2,2.0,1,5.0
1,1,1,0,6,3,4,42,17,0,0.0,0.0,3,1.0,1.0,1.0,1.0,0,1.0,3,?
2,0,0,2,9,1,9,13,12,1,8.0,2.0,0,24.0,2.0,2.0,2.0,1,?,2,8.0
3,1,1,2,8,1,2,43,30,1,1.0,1.0,1,1.0,1.0,1.0,1.0,0,1.0,0,4.0
2,0,0,2,8,4,1,43,13,1,0.0,0.0,0,6.0,1.0,2.0,1.0,2,1.0,2,7.0
1,1,1,2,10,5,1,38,29,0,7.0,2.0,3,1.0,1.0,1.0,1.0,0,1.0,1,4.0
3,1,0,2,7,2,0,32,7,1,20.0,2.0,2,1.0,1.0,1.0,1.0,0,?,4,5.0
3,1,1,2,1,6,11,44,0,1,1.0,1.0,2,1.0,1.0,1.0,1.0,0,1.0,1,4.0
1,0,0,2,0,6,4,0,16,0,15.0,5.0,0,2.0,2.0,2.0,2.0,0,?,3,5.0
2,0,1,0,10,1,0,39,22,1,0.0,0.0,0,18.0,0.0,2.0,1.0,1,?,0,0.0
2,1,0,2,3,2,6,25,15,1,8.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,2,8.0
3,1,1,2,3,5,6,25,22,1,7.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,2,8.0
3,0,1,0,5,2,0,5,25,1,6.0,2.0,3,13.0,2.0,0.0,0.0,0,?,0,4.0
2,1,1,1,4,6,6,23,15,0,6.0,2.0,1,1.0,1.0,1.0,1.0,0,3.0,3,?
2,0,0,2,8,5,7,43,4,1,4.0,2.0,0,25.0,2.0,2.0,2.0,0,?,3,0.0
2,0,0,3,0,1,7,2,12,1,13.0,1.0,1,26.0,2.0,2.0,0.0,1,?,2,8.0
3,0,0,0,5,4,8,20,27,0,12.0,4.0,1,27.0,0.0,2.0,0.0,2,?,0,4.0
1,0,0,2,0,3,0,8,19,0,1.0,1.0,1,11.0,2.0,0.0,0.0,0,?,0,3.0
2,1,0,0,8,6,6,45,28,1,14.0,2.0,1,1.0,1.0,1.0,1.0,0,1.0,2,8.0
2,0,0,2,4,1,7,4,4,1,16.0,4.0,1,28.0,5.0,2.0,0.0,1,?,0,0.0
3,0,0,2,8,1,6,9,19,1,21.0,0.0,0,29.0,5.0,0.0,1.0,0,?,0,4.0
2,1,1,0,3,6,2,25,22,1,8.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,0,4.0
3,1,1,0,1,3,11,27,20,0,13.0,1.0,2,1.0,1.0,1.0,1.0,0,1.0,0,4.0
2,0,1,2,2,0,9,16,22,1,13.0,1.0,0,3.0,0.0,2.0,1.0,0,?,2,4.0
2,0,0,0,7,4,4,32,28,0,11.0,3.0,0,6.0,1.0,2.0,1.0,0,1.0,0,10.0
3,0,0,3,2,4,1,31,6,1,11.0,3.0,0,2.0,2.0,2.0,1.0,0,?,3,0.0
3,1,1,1,1,0,8,44,26,0,7.0,2.0,3,1.0,1.0,1.0,1.0,0,3.0,2,4.0
3,1,1,2,3,1,7,46,25,1,7.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,2,8.0
3,1,0,0,2,4,7,2,7,1,5.0,3.0,1,1.0,1.0,1.0,1.0,0,1.0,3,?
0,0,0,2,5,0,0,20,11,0,5.0,3.0,0,3.0,1.0,2.0,1.0,0,?,0,10.0
2,1,0,2,3,1,0,25,14,1,8.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,1,5.0
0,0,0,1,8,3,1,43,30,1,1.0,1.0,1,6.0,1.0,2.0,1.0,0,1.0,0,3.0
2,0,0,0,6,1,0,42,23,1,1.0,1.0,0,?,?,?,?,0,?,2,7.0
0,0,0,0,6,2,8,6,28,1,16.0,4.0,0,19.0,0.0,2.0,1.0,0,?,0,9.0
0,0,0,0,0,5,0,0,3,0,11.0,3.0,0,0.0,0.0,1.0,0.0,0,?,2,?
1,0,0,1,8,3,9,9,19,1,0.0,0.0,0,30.0,1.0,2.0,1.0,1,1.0,3,11.0
2,0,0,1,1,1,9,44,30,1,1.0,1.0,1,2.0,2.0,2.0,2.0,0,?,0,10.0
3,1,1,0,7,5,6,35,19,0,2.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,1,5.0
3,0,0,2,3,6,6,3,19,1,4.0,2.0,2,2.0,2.0,2.0,2.0,0,?,0,0.0
1,1,1,2,2,6,9,2,25,1,17.0,3.0,2,1.0,1.0,1.0,1.0,0,1.0,1,12.0
2,0,0,0,6,2,6,42,29,1,0.0,0.0,1,6.0,1.0,2.0,1.0,0,1.0,2,1.0
3,0,0,2,4,4,10,10,10,0,6.0,2.0,2,6.0,1.0,2.0,1.0,0,1.0,0,4.0
3,1,0,2,1,2,0,27,20,1,3.0,2.0,3,1.0,1.0,1.0,1.0,0,2.0,3,?
0,0,0,2,7,1,9,7,9,1,13.0,1.0,1,6.0,1.0,2.0,1.0,0,1.0,2,5.0
0,0,0,0,5,6,4,47,22,0,11.0,3.0,0,19.0,0.0,2.0,1.0,0,?,2,8.0
2,0,0,0,7,6,8,32,25,1,22.0,4.0,0,27.0,0.0,2.0,0.0,1,?,2,8.0
2,0,1,0,10,1,7,17,17,1,8.0,2.0,1,13.0,2.0,0.0,0.0,0,?,0,4.0
1,1,1,0,4,3,8,4,22,0,12.0,4.0,3,1.0,1.0,1.0,1.0,0,1.0,3,?
2,1,0,0,1,3,0,21,9,0,8.0,2.0,3,1.0,1.0,1.0,1.0,0,1.0,2,8.0
2,0,0,0,10,4,4,39,3,0,11.0,3.0,0,2.0,2.0,2.0,2.0,2,?,2,8.0
2,0,0,3,2,1,4,31,2,1,0.0,0.0,0,2.0,2.0,2.0,2.0,0,?,0,0.0
3,1,1,0,11,1,11,37,20,1,6.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,1,5.0
0,0,0,2,6,1,0,42,29,1,1.0,1.0,0,6.0,1.0,2.0,1.0,0,1.0,0,0.0
0,0,0,2,2,1,8,31,5,1,16.0,4.0,1,13.0,2.0,0.0,0.0,0,?,0,0.0
2,0,0,2,1,4,4,27,29,0,13.0,1.0,1,2.0,2.0,2.0,2.0,0,?,0,6.0
0,1,0,2,1,6,0,19,25,0,13.0,1.0,1,1.0,1.0,1.0,1.0,0,1.0,3,?
2,0,0,3,2,3,7,22,4,1,0.0,0.0,1,4.0,0.0,2.0,0.0,1,1.0,0,4.0
3,0,0,2,2,3,6,22,16,1,1.0,1.0,1,6.0,1.0,2.0,1.0,0,1.0,0,3.0
0,0,0,2,8,5,4,43,4,1,0.0,0.0,1,2.0,2.0,2.0,2.0,2,?,3,5.0
3,1,0,0,9,5,9,11,27,0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,?,4,12.0
0,0,0,2,7,2,6,14,26,1,1.0,1.0,1,31.0,0.0,2.0,0.0,0,?,2,5.0
3,1,1,0,9,0,11,40,15,0,1.0,1.0,3,1.0,1.0,1.0,1.0,0,1.0,0,2.0
3,1,1,2,1,5,11,27,30,0,6.0,2.0,3,1.0,1.0,1.0,1.0,0,1.0,3,?
2,0,0,0,4,1,0,23,23,1,3.0,2.0,1,32.0,1.0,2.0,1.0,1,1.0,2,?
2,1,1,0,11,5,3,34,10,1,8.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,1,11.0
2,1,1,0,0,1,2,0,26,1,9.0,0.0,0,1.0,1.0,1.0,1.0,0,3.0,1,1.0
3,1,0,3,0,5,9,8,16,0,1.0,1.0,1,1.0,1.0,1.0,1.0,0,3.0,1,0.0
2,1,0,2,9,1,6,29,6,1,8.0,2.0,1,1.0,1.0,1.0,1.0,0,3.0,3,?
2,0,0,2,4,1,2,19,18,1,10.0,0.0,0,13.0,2.0,0.0,0.0,0,?,2,14.0
2,1,0,2,4,2,2,10,12,1,8.0,2.0,1,1.0,1.0,1.0,1.0,0,1.0,1,5.0
2,0,1,0,10,3,0,38,25,0,0.0,0.0,1,19.0,0.0,2.0,1.0,0,?,2,1.0
3,0,0,0,1,0,7,27,29,0,10.0,0.0,3,19.0,0.0,2.0,1.0,0,?,0,0.0
2,1,0,0,9,1,4,32,18,1,0.0,0.0,1,1.0,1.0,1.0,1.0,0,1.0,0,4.0
3,1,1,0,10,3,0,39,0,0,2.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,3,?
2,1,0,3,0,3,7,0,14,0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1,5.0
2,0,0,2,4,2,3,4,22,1,23.0,0.0,1,16.0,2.0,2.0,1.0,0,?,0,2.0
3,0,1,0,6,6,9,48,9,0,6.0,2.0,0,33.0,5.0,2.0,0.0,0,?,2,?
0,0,0,0,0,6,1,0,27,0,1.0,1.0,1,19.0,0.0,2.0,1.0,2,2.0,2,5.0
3,0,0,0,10,2,1,38,24,1,1.0,1.0,0,2.0,2.0,2.0,2.0,0,?,2,15.0
2,0,0,2,11,2,8,18,4,1,1.0,1.0,0,2.0,2.0,2.0,2.0,0,?,0,0.0
2,1,0,0,3,4,0,26,9,1,14.0,2.0,1,1.0,1.0,1.0,1.0,2,2.0,3,?
3,0,1,0,11,6,6,18,3,1,14.0,2.0,3,30.0,1.0,2.0,1.0,1,1.0,2,15.0
3,1,1,0,10,6,11,17,4,0,4.0,2.0,3,1.0,1.0,1.0,1.0,0,1.0,3,?
2,1,0,2,8,0,8,43,26,1,8.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,1,4.0
3,0,0,2,3,0,6,15,28,1,12.0,4.0,0,6.0,1.0,2.0,1.0,0,1.0,0,0.0
2,1,0,3,2,2,9,16,23,1,5.0,3.0,0,1.0,1.0,1.0,1.0,0,1.0,0,4.0
3,1,1,2,10,4,8,39,27,0,2.0,2.0,3,1.0,1.0,1.0,1.0,0,1.0,3,?
2,0,0,2,8,1,4,9,19,1,10.0,0.0,0,29.0,5.0,0.0,1.0,0,?,0,4.0
2,0,0,2,11,2,4,34,11,1,4.0,2.0,3,13.0,2.0,0.0,0.0,0,?,0,4.0
0,0,0,3,2,0,8,22,1,1,22.0,4.0,1,6.0,1.0,1.0,0.0,2,?,2,7.0
2,1,1,2,3,1,4,25,14,1,8.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,2,8.0
2,1,0,2,3,6,0,3,19,1,3.0,2.0,1,1.0,1.0,1.0,1.0,0,1.0,1,2.0
0,0,1,3,0,6,0,0,4,1,4.0,2.0,1,13.0,2.0,0.0,0.0,0,?,2,7.0
3,1,0,0,7,2,3,32,2,1,3.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,1,5.0
3,1,1,0,1,4,11,27,23,0,14.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,1,4.0
2,0,0,2,11,2,8,15,18,1,0.0,0.0,1,6.0,1.0,2.0,1.0,0,1.0,0,10.0
2,0,0,0,11,1,9,34,27,1,1.0,1.0,0,34.0,2.0,0.0,1.0,1,?,0,9.0
3,1,0,1,4,6,6,10,8,0,19.0,5.0,1,1.0,1.0,1.0,1.0,0,1.0,3,?
2,0,1,2,9,4,11,29,5,0,8.0,2.0,0,27.0,0.0,2.0,1.0,1,?,2,?
3,1,0,2,10,5,10,49,18,0,8.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,0,4.0
2,1,0,2,1,4,0,19,28,0,8.0,2.0,3,1.0,1.0,1.0,1.0,0,1.0,1,5.0
2,0,0,2,5,6,7,5,30,0,3.0,2.0,1,2.0,2.0,2.0,1.0,1,?,3,9.0
0,0,0,2,7,6,8,32,5,1,12.0,4.0,1,27.0,0.0,2.0,0.0,1,1.0,0,10.0
3,1,1,0,7,0,3,50,17,0,24.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,1,10.0
0,0,0,2,4,6,3,4,16,0,5.0,3.0,0,35.0,5.0,0.0,1.0,2,?,0,2.0
3,0,0,2,8,5,10,41,29,1,1.0,1.0,1,25.0,5.0,0.0,1.0,0,?,0,10.0
0,0,0,2,4,2,3,4,22,1,0.0,0.0,1,20.0,2.0,2.0,1.0,0,?,0,4.0
0,0,0,2,8,0,4,30,16,1,1.0,1.0,0,2.0,2.0,2.0,2.0,0,?,3,0.0
3,1,1,0,10,0,0,49,9,0,20.0,2.0,3,1.0,1.0,1.0,1.0,0,3.0,1,5.0
3,1,0,2,4,3,8,4,1,0,0.0,0.0,3,1.0,1.0,1.0,1.0,0,1.0,0,4.0
2,0,0,2,7,5,4,14,0,0,1.0,1.0,1,4.0,0.0,2.0,0.0,1,?,0,1.0
3,1,1,1,1,4,1,21,9,0,9.0,0.0,2,1.0,1.0,1.0,1.0,0,1.0,1,12.0
3,0,0,2,6,2,1,48,12,1,5.0,3.0,1,11.0,2.0,0.0,0.0,0,?,2,7.0
2,1,0,0,3,0,4,25,26,1,14.0,2.0,1,1.0,1.0,1.0,1.0,0,1.0,1,0.0
3,0,0,2,7,0,8,14,1,0,17.0,3.0,1,13.0,2.0,0.0,0.0,1,?,0,10.0
2,0,1,2,7,3,4,14,4,0,25.0,0.0,1,3.0,0.0,0.0,0.0,0,?,0,4.0
2,0,0,2,10,2,7,17,14,1,13.0,1.0,1,29.0,5.0,2.0,1.0,1,?,2,15.0
2,1,0,0,4,1,1,23,23,1,26.0,0.0,1,1.0,1.0,1.0,1.0,0,1.0,3,?
2,0,0,0,7,4,9,7,18,0,9.0,0.0,1,0.0,0.0,0.0,0.0,1,?,0,9.0
3,1,1,2,10,5,10,49,18,0,0.0,0.0,0,1.0,1.0,1.0,1.0,0,1.0,1,10.0
2,0,0,2,1,5,9,19,24,0,0.0,0.0,0,?,?,?,?,0,?,5,4.0
2,0,0,2,3,3,0,26,9,1,0.0,0.0,0,13.0,2.0,0.0,0.0,0,?,0,4.0
2,0,0,0,3,4,6,46,20,1,6.0,2.0,0,13.0,2.0,0.0,0.0,0,?,2,14.0
0,0,0,1,4,5,0,23,14,0,17.0,3.0,2,6.0,1.0,2.0,1.0,0,1.0,0,16.0
3,1,1,0,2,5,6,31,17,1,0.0,0.0,3,1.0,1.0,1.0,1.0,0,2.0,2,8.0
0,0,0,0,5,4,12,20,27,0,1.0,1.0,0,2.0,2.0,2.0,2.0,0,?,0,10.0
2,0,1,1,4,2,0,12,7,1,11.0,3.0,1,19.0,0.0,2.0,1.0,0,2.0,0,10.0
1,1,1,2,7,1,4,35,27,1,15.0,5.0,0,1.0,1.0,1.0,1.0,0,2.0,1,11.0
2,0,0,0,5,5,1,20,11,0,1.0,1.0,1,11.0,2.0,0.0,0.0,0,?,2,5.0
2,0,0,0,1,2,0,44,15,1,17.0,3.0,0,13.0,2.0,0.0,0.0,0,?,0,4.0
2,1,0,2,9,2,0,29,24,1,6.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,2,8.0
0,0,0,0,0,2,8,2,18,1,26.0,0.0,1,36.0,2.0,0.0,1.0,0,?,2,?
3,1,0,1,8,3,6,41,24,1,0.0,0.0,0,1.0,1.0,1.0,1.0,0,1.0,2,8.0
3,1,0,2,1,2,6,19,2,1,27.0,5.0,3,1.0,1.0,1.0,1.0,0,1.0,2,8.0
3,0,1,0,1,0,4,27,29,0,2.0,2.0,3,20.0,2.0,2.0,1.0,0,?,0,0.0
2,0,0,0,4,4,9,4,1,0,4.0,2.0,0,5.0,0.0,2.0,1.0,1,?,0,0.0
2,0,1,0,7,0,2,14,22,0,1.0,1.0,0,27.0,0.0,2.0,0.0,1,?,0,4.0
2,0,0,0,8,5,11,45,7,1,1.0,1.0,1,37.0,5.0,1.0,1.0,0,?,3,0.0
0,0,0,2,4,3,7,12,24,1,1.0,1.0,2,38.0,5.0,0.0,1.0,0,?,5,0.0
2,0,1,3,2,6,7,22,3,1,1.0,1.0,1,13.0,2.0,0.0,0.0,0,?,0,10.0
3,1,1,0,10,3,0,39,0,0,2.0,2.0,3,1.0,1.0,1.0,1.0,0,1.0,3,?
3,0,0,2,7,4,3,32,6,0,0.0,0.0,1,2.0,2.0,2.0,2.0,0,?,1,0.0
3,1,1,2,6,2,11,42,17,1,1.0,1.0,2,1.0,1.0,1.0,1.0,0,1.0,1,0.0
3,1,0,1,1,0,6,19,7,0,20.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,1,5.0
3,0,0,0,5,5,6,20,11,0,5.0,3.0,0,6.0,1.0,2.0,1.0,0,1.0,0,0.0
3,1,1,0,9,5,2,29,20,0,2.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,1,5.0
2,1,0,0,7,5,13,32,24,0,8.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,2,8.0
3,0,0,3,0,5,6,2,21,0,0.0,0.0,1,33.0,5.0,2.0,0.0,0,?,0,4.0
2,0,0,0,7,3,9,32,7,0,8.0,2.0,1,2.0,2.0,2.0,0.0,0,?,0,0.0
2,0,0,1,4,6,4,10,8,0,0.0,0.0,1,39.0,0.0,2.0,1.0,1,?,0,4.0
2,0,1,0,3,5,4,25,4,1,13.0,1.0,1,3.0,1.0,2.0,1.0,0,?,2,1.0
1,0,0,0,2,6,0,31,30,1,16.0,4.0,0,15.0,2.0,2.0,1.0,1,?,2,8.0
0,1,0,2,10,6,6,39,12,1,1.0,1.0,1,1.0,1.0,1.0,1.0,0,1.0,0,4.0
3,0,1,1,8,6,7,9,21,1,11.0,3.0,1,40.0,3.0,2.0,0.0,2,?,0,4.0
0,0,0,2,4,1,0,12,28,1,1.0,1.0,2,6.0,1.0,2.0,1.0,0,1.0,0,4.0
0,0,0,2,7,3,8,7,18,0,1.0,1.0,0,13.0,2.0,2.0,1.0,2,?,2,5.0
0,0,0,2,4,5,9,10,9,0,12.0,4.0,0,11.0,2.0,0.0,0.0,2,?,0,9.0
3,1,1,0,3,6,11,15,6,1,0.0,0.0,3,1.0,1.0,1.0,1.0,0,1.0,1,0.0
2,1,0,2,4,2,6,23,17,1,17.0,3.0,1,1.0,1.0,1.0,1.0,0,1.0,0,4.0
2,1,0,0,3,2,14,3,0,1,8.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,1,11.0
0,0,0,2,7,1,0,35,27,1,0.0,0.0,1,6.0,1.0,2.0,1.0,0,1.0,0,3.0
2,1,1,1,4,4,4,4,22,0,8.0,2.0,0,1.0,1.0,1.0,1.0,0,1.0,1,11.0
0,0,0,0,4,2,7,10,11,1,17.0,3.0,1,25.0,2.0,2.0,2.0,0,?,3,5.0
3,1,1,2,7,5,9,32,25,0,8.0,2.0,2,1.0,1.0,1.0,1.0,0,1.0,1,0.0
2,0,0,2,9,0,6,29,20,0,1.0,1.0,1,6.0,1.0,2.0,1.0,0,1.0,0,9.0
2,1,0,0,11,5,0,37,14,1,12.0,4.0,0,1.0,1.0,1.0,1.0,0,?,4,12.0
